TAHUN,PROVINSI,IKP,Kerentanan Area,P0,KPM,RLS,RTL,Wirausaha,Usaha Kecil,Usaha Besar,Karyawan/Formal,Lepas Pertanian,Lepas Non-Pertanian,Pekerja Keluarga,1,2-3,4-5,≥6,Pengeluaran Pangan,Pengeluaran Nonpangan
2020,KALIMANTAN TENGAH,"72,58",Tahan,"5,04",100264,"8,95","18,43",294106,186400,41298,541354,45079,46756,163140,"7,08","40,81","41,61","10,5",675947.95,657370.07
2020,KALIMANTAN SELATAN,"80,04",Sangat Tahan,"4,61",188370,"8,69","22,13",461001,339859,63189,753148,49540,86610,329972,"8,66","40,48","41,12","9,74",675978.56,659478.42
2020,KALIMANTAN TIMUR,"78,24",Sangat Tahan,"6,37",125079,"9,99","19,64",367367,187578,58252,836504,18887,51759,172449,"7,5","38,19","41,85","12,46",790469.29,963725.48
2020,KALIMANTAN UTARA,"71,9",Tahan,"7,11",28641,"9,30","21,84",69090,38803,14000,148138,9941,13556,36913,"6,76","31,09","41,75","20,4",743893.54,801795.67
2020,SULAWESI UTARA,"77,79",Sangat Tahan,"7,70",164371,"9,74","32,03",297220,119919,38139,410524,73308,73357,122335,"8,27","38,72","39,58","13,43",590061.88,621777.26
2020,SULAWESI TENGAH,"75,1",Sangat Tahan,"12,99",221982,"9,09","25,94",327155,278781,41295,453443,79955,61441,274277,"6,15","35,64","41,95","16,26",516838.74,518938.32
2020,SULAWESI SELATAN,"81,81",Sangat Tahan,"8,86",647922,"8,86","31,65",848560,784582,128770,1304678,133288,117996,688746,"6,96","31,42","41,38","20,24",516183.11,541681.06
2020,SULAWESI TENGGARA,"77,06",Sangat Tahan,"11,35",199591,"9,41","23,67",258257,247937,40550,415940,26237,46079,254232,"6,99","30,46","41,17","21,37",506739.57,531059.69
2020,GORONTALO,"80,4",Sangat Tahan,"15,41",113750,"8,26","24,37",131433,98497,19469,195905,25988,24777,72494,"6,42","35,85","43,18","14,55",476069.17,592212.63
2020,SULAWESI BARAT,"76,36",Sangat Tahan,"11,19",101617,"8,33","22,01",139015,159890,14587,169615,21280,24232,144367,"5,98","32,56","41,06","20,39",457059.22,436701.42
2020,MALUKU,"58,15",Agak Tahan,"17,72",122879,"10,20","26,57",242410,119108,12127,247249,5999,19462,129346,"7,02","25,14","38,43","29,41",532135.38,551786.07
2020,MALUKU UTARA,"63,12",Agak Tahan,"6,88",51252,"9,42","22,48",138765,96694,12559,174576,14539,19131,96238,"6,45","25,11","44,36","24,08",537605.49,555218.26
2020,PAPUA BARAT,"49,4",Agak Rentan,"21,54",75822,"10,00",17,100001,73035,10496,182542,2708,12655,77913,"7,18","33,73","37,12","21,97",687943.88,707070.04
2020,PAPUA,"34,79",Sangat Rentan,"26,72",326408,"6,96","10,78",322396,500961,15009,324745,7281,17546,503807,"8,25","41,86","36,46","13,43",723821.0,585893.36
2021,ACEH,"71,63",Tahan,"15,43",388854,"9,77","25,29",542497,297320,88407,839815,149415,128928,314918,"7,66","34,98","41,95","15,41",643591.4,494227.92
2021,SUMATERA UTARA,"72,25",Tahan,"8,75",789834,"9,88","26,75",1348714,1044932,238424,2623054,308565,336142,1136019,"7,38","35,66","42,38","14,58",607811.56,534905.1
2021,SUMATERA BARAT,"79,55",Sangat Tahan,"6,34",298621,"9,46","29,61",543675,429023,88536,820781,174577,129450,395402,"7,43","33,03","42,44","17,1",668029.07,613628.96
2021,RIAU,"66,84",Tahan,"7,06",259290,"9,52","19,24",634374,335495,162083,1268433,263438,121058,364066,"5,43","35,89","46,29","12,39",672142.73,670527.59
2021,JAMBI,"74,18",Tahan,"7,88",171970,"9,03","26,63",380436,254521,75794,587770,118527,71353,258439,"5,8","41,26","44,03","8,92",613752.76,566507.0
2021,SUMATERA SELATAN,"69,55",Tahan,"12,82",489642,"8,78","25,68",903581,704049,99375,1398529,185994,138127,750053,"5,25","38,05","46,18","10,51",579031.72,517375.56
2021,BENGKULU,"70,32",Tahan,"14,83",138977,"9,26","25,55",203949,196119,38226,287071,61296,46221,188893,"7,26","40,76","44,05","7,92",580273.31,558299.08
